feature,Sample Count (Valid),Null Count,Data Type,Unique Count
ID,1056,0,object,1056
generation,1056,0,int64,1
school1,1056,0,object,77
major_data,1056,0,bool,2
job,1056,0,object,4
class1,1056,0,int64,9
re_registration,1056,0,object,2
nationality,1056,0,object,2
inflow_route,1056,0,object,9
whyBDA,1056,0,object,7
time_input,1056,0,float64,18
certificate_acquisition,1056,0,object,37
withdrawal,1056,0,int64,2
major1_1,1051,5,object,11
major type,1049,7,object,2
major_field,1048,8,object,51
what_to_gain,1045,11,object,9
hope_for_group,1045,11,object,3
desired_career_path,1045,11,object,27
project_type,1045,11,object,2
desired_job,1045,11,object,90
desired_certificate,1045,11,object,108
certificate_study_period,1045,11,object,2
desired_job_except_data,1045,11,object,35
incumbents_level,1045,11,object,2
incumbents_lecture,1045,11,object,8
incumbents_company_level,1045,11,object,22
incumbents_lecture_type,1045,11,object,3
incumbents_lecture_scale,1045,11,object,11
interested_company,1045,11,object,531
expected_domain,1045,11,object,68
incumbents_lecture_scale_reason,1044,12,object,985
onedayclass_topic,1041,15,object,540
completed_semester,972,84,object,2
major1_2,493,563,object,11
contest_participitation,194,862,object,194
previous_class_6,174,882,object,6
previous_class_7,174,882,object,11
previous_class_3,173,883,object,3
previous_class_4,172,884,object,4
previous_class_5,172,884,object,5
class2,101,955,float64,7
contest_award,11,1045,object,11
idea_contest,11,1045,object,11
class3,2,1054,float64,2
class4,1,1055,float64,1
