TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1,weight_0
0,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.57,43,600,9,0.01,1.0,CrossEntropy,Depthwise,Bayesian,10,0.6690909090909091,0.71875,0.6258503401360545,0.4461538461538462,0.6258503401360545,
1,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.55,63,600,9,0.02,1.0,Logloss,Depthwise,Bernoulli,10,0.7549668874172185,0.7354838709677419,0.7755102040816326,0.36923076923076925,0.7755102040816326,1.3
2,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.44,51,600,7,0.04,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
3,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.53,11,800,8,0.1,1.0,CrossEntropy,SymmetricTree,Bayesian,10,0.7777777777777778,0.6820512820512821,0.9047619047619048,0.046153846153846156,0.9047619047619048,
4,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.58,27,700,8,0.07,2.0,CrossEntropy,Depthwise,Bernoulli,30,0.7090301003344481,0.6973684210526315,0.7210884353741497,0.2923076923076923,0.7210884353741497,
5,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.55,3,500,9,0.02,1.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.0,0.0,0.0,1.0,0.0,
6,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.58,15,900,7,0.05,2.0,Logloss,Depthwise,Bayesian,10,0.5523012552301255,0.717391304347826,0.4489795918367347,0.6,0.4489795918367347,1.6
7,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,31,700,7,0.09,2.0,CrossEntropy,SymmetricTree,Bernoulli,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
8,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.5,19,800,7,0.04,3.0,Logloss,Depthwise,Bernoulli,50,0.7588424437299035,0.7195121951219512,0.8027210884353742,0.2923076923076923,0.8027210884353742,1.7
9,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.42,63,700,8,0.02,1.0,Logloss,Depthwise,Bayesian,30,0.8225352112676056,0.7019230769230769,0.9931972789115646,0.046153846153846156,0.9931972789115646,1.5
10,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,0.43,63,1000,6,0.03,3.0,Logloss,Depthwise,Bayesian,50,0.8112676056338028,0.6923076923076923,0.9795918367346939,0.015384615384615385,0.9795918367346939,1.5
